Student_ID,Hours_Study,Sleep_Hours,Screen_Time,Attendance,Extracurricular,Stress_Level,CGPA
S2254,6.455337985,6.542998249,1.877314034,67.8576314,Yes,Low,8.000784601
S10601,6.537427789,6.184297607,7.425551723,86.5216884,No,High,7.818143492
S4615,5.469275091,7.204186951,3.854783449,50.45609401,Yes,Medium,7.873644211
S9353,5.540927191,8.562868906,6.503808453,86.03646366,No,Low,5.117372554
S6317,3.558923542,6.630564786,3.988687444,92.33551713,No,High,6.839009027
S1039,4.393722472,7.023379253,4.994795252,79.87346126,No,Medium,9.106209076
S10201,3.047874884,7.812069059,7.111267514,68.25958555,No,Medium,7.556376774
S4392,3.852054273,7.68149715,3.843672754,91.919281,No,Low,5.826671277
S6440,2.796111116,7.023379253,4.994795252,79.87346126,No,High,8.212650608
S4928,1.641261757,8.982821488,6.568191193,79.39590705,No,Low,7.473429556
S2413,8.33000469,7.372817658,2.917241823,90.41696558,No,High,5.638594473
S6289,5.820836999,7.845106541,2.48107447,66.41794253,No,Medium,6.98742003
S10747,1.686007089,8.37820697,5.187342065,81.77418239,Yes,Low,8.057478455
S10160,2.917053987,5.757691442,4.800823558,94.62238987,No,Low,5.975895734
S6181,3.10735897,4.061227587,6.400658341,77.23846302,No,Medium,8.099145387
S6123,3.860733093,7.945161993,3.935025808,69.4414436,No,Medium,5.674735436
S7421,2.356370343,8.677812114,4.018902309,72.64932623,No,High,8.317966019
S10436,4.228952118,10.698891,6.795494095,68.19084328,Yes,Medium,7.59892364
S4126,0.181287825,8.579682179,6.339175382,83.09405325,No,Low,5.191568166
S9840,2.586661792,6.507170122,4.39952148,73.46833816,No,High,5.904834263
S2957,10.27549707,7.594941909,2.48960377,70.62539312,Yes,Medium,5.661835096
S9969,6.985905246,5.799489052,2.920563285,79.11353712,No,Medium,5.616657116
S2183,0.858998793,6.414408299,3.891968934,84.72495563,No,Low,9.591660361
S10103,6.756285361,8.653292978,2.994054686,92.81944023,Yes,Low,7.655031926
S5347,0.835646473,4.261731837,5.385780024,88.88254798,Yes,Medium,6.27040414
S1251,5.835723894,7.023379253,4.994795252,79.87346126,No,High,6.709787896
S2472,3.731965667,7.023379253,4.994795252,79.87346126,No,Low,6.558290017
S7223,7.759749099,7.886934384,5.227987179,79.41485902,Yes,Low,7.801995301
S6357,2.190104334,6.472729935,3.859977003,69.78056513,No,Medium,9.947561823
S1096,4.592240554,7.023379253,4.994795252,79.87346126,No,Low,6.837280157
S8808,7.278513033,7.016039968,6.099785773,70.337434,No,Medium,6.83811924
S5792,3.770718329,7.028805131,3.25918093,74.65451485,No,Low,7.101775203
S7483,3.33484124,7.494938182,6.531627628,90.48724541,No,High,7.096790219
S5169,2.576053545,10.12939615,3.897052177,68.30138894,No,Medium,7.916860938
S3392,1.00694149,9.003210847,3.40694885,89.25797043,Yes,Low,6.177318134
S3444,2.994050459,5.719119554,9.246641027,93.61711456,Yes,High,7.323918746
S5884,5.264908433,7.899465461,4.183124797,73.00733344,Yes,Medium,4.482766762
S2608,4.646158546,5.077763541,5.34330754,77.75438032,Yes,High,7.91999607
S1107,4.349155626,7.023379253,4.994795252,79.87346126,No,Low,7.674630115
S10877,1.278330043,8.221484277,8.360173299,85.31632087,No,Low,8.256267309
S2217,4.557988324,6.809262105,5.577219303,92.56725202,Yes,High,7.60641221
S8492,2.794751391,7.573196914,5.993204819,100,No,Medium,7.068134437
S1303,5.220740531,7.023379253,4.994795252,79.87346126,No,Low,9.258218272
S10239,1.574685735,7.534048701,5.811747851,81.83514461,Yes,High,7.499154098
S3474,4.607637191,7.526636938,3.953712507,97.05342743,Yes,Low,7.000914311
S3335,5.150410032,5.028572353,2.991781186,80.64948384,Yes,Medium,7.298704191
S2071,4.954081654,4.571766142,9.845111149,68.03128914,Yes,Low,7.09180251
S2512,2.566355359,7.023379253,4.994795252,79.87346126,Yes,Low,7.944340023
S1169,2.492527671,6.23030913,5.17087737,83.49792767,No,Low,6.097275115
S2626,3.105356209,5.891891912,7.162813089,92.71555913,Yes,Low,9.532106046
S7004,3.571699379,7.023379253,4.994795252,79.87346126,Yes,Medium,8.165174835
S6325,3.981635293,6.157964894,3.50287356,97.43835901,Yes,Medium,6.176909223
S1576,4.471229116,7.023379253,4.994795252,79.87346126,No,Low,7.370200878
S5047,9.629308889,6.930757084,5.973873115,53.08800244,No,High,7.195375098
S9752,5.238166339,6.084775382,4.232668119,58.65638572,Yes,Medium,7.604230733
S9140,2.739903137,9.11546846,6.533213822,69.70799139,No,Medium,6.661773077
S7145,3.559772537,6.594242044,4.671949115,92.66479162,Yes,High,6.922661841
S2650,5.159266346,7.023379253,4.994795252,79.87346126,Yes,Low,5.294861815
S8517,3.505319226,8.044947252,3.183059931,92.08406049,No,High,6.173130919
S2730,3.553068035,5.454870918,5.509638437,72.13306341,Yes,High,7.269325312
S9600,3.231636669,6.932970398,5.380463069,76.3167037,No,Medium,6.923199968
S8063,4.234248432,5.436737789,2.422516209,90.60645818,No,Low,8.858694757
S6284,7.237575279,5.117276399,2.588942791,89.42894236,Yes,Low,8.084783734
S10729,4.775359758,7.706129862,4.826889035,76.19118961,No,Medium,5.602360891
S8740,5.418821961,10.03331884,1.566612532,90.087816,No,Medium,7.786517003
S1321,5.190314051,7.023379253,4.994795252,79.87346126,No,Medium,5.67044238
S10023,5.762117784,7.759545207,2.593462421,81.50808769,No,Medium,5.272990405
S3191,4.924345332,8.60967704,4.91376691,85.10456731,Yes,Low,7.415603142
S5151,6.255560501,6.62891059,7.758046482,83.85685927,No,High,6.757942782
S3973,7.974551998,7.347311603,7.222752178,91.77705478,No,Medium,7.944809034
S8875,3.291587223,5.748708859,6.674046013,86.88493394,No,Medium,5.244115878
S3487,3.909177564,9.030177342,5.632871367,85.80091726,Yes,Medium,7.713658738
S8671,0,8.493675265,6.504265816,71.74359368,Yes,Medium,7.718541847
S1500,5.852355095,7.023379253,4.994795252,79.87346126,No,Medium,9.210478401
S1937,5.416712895,6.402509481,7.791414964,93.52281083,Yes,Low,8.018995332
S3625,2.27782418,7.643559351,3.662307414,84.57098794,Yes,Medium,5.351569922
S5604,1.815716813,3.800223359,4.805298011,73.33019481,Yes,High,7.174526306
S7017,4.388666927,5.771571333,8.024097231,77.72303424,No,Medium,6.575005471
S5787,2.698680345,6.372626627,4.695578098,65.17960428,Yes,High,7.567262068
S1439,3.888904602,7.023379253,4.994795252,79.87346126,Yes,Low,7.925798392
S8551,7.834518297,5.410867889,4.202922494,86.21760442,Yes,Low,7.111209781
S1624,7.186373253,7.023379253,4.994795252,79.87346126,No,Medium,8.822624135
S2508,4.176813773,8.777510475,7.024491815,73.18990327,Yes,Medium,6.810959996
S10345,3.676465438,7.347689144,7.231413244,87.29826435,No,Medium,9.228634389
S9765,3.089656432,6.116284682,4.216233941,70.24489414,No,Medium,7.704614213
S3534,3.165266373,5.945265307,4.021335249,88.18957756,No,Low,8.337633015
S9888,3.863427584,6.489595483,6.108091142,91.64973778,No,Low,7.019250983
S1655,4.118436868,9.181807691,1.776603116,83.88398869,No,Low,8.328354335
S4412,7.983106604,7.023379253,4.994795252,79.87346126,Yes,Medium,7.817356597
S8354,6.622324593,9.800846931,3.0183447,88.10522089,No,Medium,7.497597164
S1518,4.198664611,7.023379253,4.994795252,79.87346126,Yes,Medium,5.858303745
S5989,8.784219271,6.524157418,9.153593171,71.83518693,No,High,5.786426868
S1346,1.103831317,7.023379253,4.994795252,79.87346126,No,Low,7.464887788
S6130,4.87201155,6.298114417,8.949304724,86.18548492,No,High,4.889473982
S3304,7.99133498,7.023379253,4.994795252,79.87346126,Yes,Medium,7.169929098
S3138,1.521785849,5.632609935,5.306842391,93.17622329,Yes,Low,5.856426992
S1315,4.042007683,8.373104456,2.542546479,69.35005903,No,High,6.231839056
S10363,4.278639261,5.490537992,5.629856937,67.50205359,Yes,Low,5.615493707
S1673,3.257118268,7.023379253,4.994795252,79.87346126,No,Low,6.610511174
S3996,4.51550508,6.882836485,5.711339746,83.61695099,Yes,Medium,7.648085588
S10638,2.777829875,7.063374407,6.966280456,82.78618862,No,Medium,7.763851518
S4352,4.856633385,8.363931095,7.591015164,79.82773817,No,Medium,6.520651505
S1483,4.406927272,7.023379253,4.994795252,79.87346126,No,Low,6.373294189
S2683,4.648718563,7.116905945,2.360542688,77.49715609,Yes,Medium,5.41776917
S9882,5.962299431,6.376824275,5.311140714,87.11383617,No,Medium,6.008025615
S10050,4.844649595,5.721499482,5.489344069,91.49210141,No,High,8.638790757
S8610,4.47091159,5.437853095,2.681906915,73.69790214,No,High,5.302373834
S9911,2.359343078,3.42701309,7.283256347,63.52042651,Yes,High,9.011211312
S2123,1.713990175,7.023379253,4.994795252,79.87346126,No,High,9.706925342
S6576,2.663713903,7.117116571,4.047217208,84.72239578,No,High,8.524879304
S7266,4.14667349,7.023379253,4.994795252,79.87346126,Yes,Medium,8.708890229
S2595,1.980538591,8.301091739,7.861248794,72.95684851,No,Medium,7.469486102
S1761,4.244019629,7.650178663,6.144155242,80.47403551,Yes,High,5.970924649
S9664,3.350284147,5.241576255,2.790846742,61.55987378,No,High,6.785694531
S9349,6.56820939,5.764975692,4.722885167,78.90924619,No,Medium,5.903489363
S8496,2.967766716,6.131220788,5.118931855,89.33693902,Yes,Medium,7.175281789
S3029,3.016727629,7.023379253,4.994795252,79.87346126,Yes,Medium,6.983128452
S7835,1.646710112,7.325186916,2.188831834,69.58144785,No,Low,4.156066397
S4963,5.537679352,7.121715748,4.567586164,78.13656138,Yes,High,8.70265032
S8498,0,7.323494181,1,75.22948308,No,Low,7.354517298
S1259,5.549268107,7.023379253,4.994795252,79.87346126,No,Medium,7.765249183
S4094,2.272234079,8.853225654,1,88.12594698,Yes,Medium,7.608732557
S1952,1.496921152,7.023379253,4.994795252,79.87346126,No,Medium,7.127863309
S10817,4.003607013,7.807052259,8.581712027,79.7372552,No,Medium,5.917641845
S5055,4.412723543,8.415552452,3.161604465,70.53671831,No,Low,6.164037324
S8286,6.150443082,6.047107923,7.165419547,75.05072879,Yes,Low,5.927328951
S1311,6.197553704,7.023379253,4.994795252,79.87346126,No,Low,5.801690139
S5693,5.053795847,8.449139283,5.987176972,78.44633027,Yes,Medium,7.466512031
S3128,5.430762631,8.759451549,4.592424861,67.83672554,Yes,Low,9.35512523
S8207,6.979198819,8.234288834,7.005152801,83.10637499,No,Medium,6.848981553
S1932,1.103972199,5.251038721,1,59.39980583,No,Medium,4.791288226
S1031,7.704556369,7.023379253,4.994795252,79.87346126,No,Medium,7.209256478
S1035,1.5583127,7.023379253,4.994795252,79.87346126,No,Low,8.129245387
S7096,1.713322018,7.046273001,5.24181183,100,Yes,Medium,7.331530339
S7556,3.783722019,9.217275903,3.695204162,81.42933283,Yes,Medium,7.657211608
S10228,0.463886562,8.075754962,3.177131723,70.23633666,No,Low,8.093206704
S7601,4.116898961,6.674811952,6.880799138,84.34476651,Yes,Medium,4.574303622
S9786,5.258721267,7.762400982,5.786693032,82.2618966,No,Medium,7.003473598
S7128,2.367690022,9.152598118,1,81.87231077,No,High,8.209971055
S4378,5.011931107,9.070184934,6.037761351,83.77444141,No,High,7.681572694
S6382,2.182460658,4.308334622,6.342955343,75.54390284,Yes,Medium,7.929583881
S3818,4.787594596,5.307472994,9.316038022,94.1830747,Yes,Medium,7.759983947
S5049,4.7866141,7.023379253,4.994795252,79.87346126,Yes,Medium,6.941189341
S9221,5.933913291,8.339260831,4.135040854,79.4642081,Yes,Medium,8.545852004
S7394,2.194382146,7.636877644,3.162585048,100,Yes,Medium,7.861416436
S10284,4.395351134,6.508588711,2.42170998,70.10131307,Yes,Low,10
S4520,5.005489615,6.347210002,6.745971283,56.65718791,No,Low,9.15713474
S7728,1.910327372,7.163177359,4.367331614,83.74901543,Yes,High,4.569717391
S6306,3.74193177,7.108563273,5.186619876,72.51601726,No,Medium,5.510805956
S1295,2.614180809,6.593055155,3.738289923,83.43844228,No,Medium,8.433500378
S3724,7.925174381,8.031645773,3.980141509,100,Yes,Medium,5.793420048
S8767,0.551876378,7.094660682,5.482939594,87.00658155,No,Low,7.349795594
S1080,3.560656224,7.023379253,4.994795252,79.87346126,No,Low,6.663959114
S6584,6.335019646,4.982519997,4.321206369,72.54384442,No,Low,6.806183641
S2953,2.692467323,3,5.058367516,73.27354155,Yes,Medium,7.535474033
S4393,3.848668791,7.023379253,4.994795252,79.87346126,Yes,Low,5.069613942
S9857,4.265195344,7.937409235,3.845556982,77.20840607,No,Medium,8.35232529
S5010,4.045261705,6.216948565,4.518535677,82.17476514,Yes,Low,7.228233746
S7727,3.55305499,7.023379253,4.994795252,79.87346126,No,Low,7.731641545
S2310,3.949946083,6.811270973,2.103288164,85.6176349,Yes,Medium,7.95990379
S10923,6.093909069,6.657673698,4.785030565,94.24764392,No,Medium,6.668172912
S9265,3.609130307,6.031226518,6.979209086,87.29418547,No,Low,7.373105842
S1119,5.503866065,7.023379253,4.994795252,79.87346126,No,Medium,6.629439618
S4889,5.699223977,6.307036603,2.25335144,96.5131176,Yes,Medium,9.323147128
S5779,0,6.264749027,5.635304162,71.91353859,No,Medium,6.835470492
S7843,2.298231822,7.023379253,4.994795252,79.87346126,No,Medium,7.20662508
S4208,5.800797177,7.212984176,4.28144193,82.68291167,Yes,Medium,7.560605561
S9827,4.671694529,6.642074457,5.251096783,72.43674612,Yes,Medium,6.714648378
S9479,1.304581539,8.162371832,7.641984377,78.56113984,No,Medium,6.6202501
S5972,1.983102535,8.94098382,8.408259259,85.24016212,No,Medium,8.621598522
S8581,5.334490295,7.642381596,7.126094968,80.67472889,No,Low,8.507893284
S4538,3.901941318,5.491666043,3.535722196,90.52181263,Yes,Low,7.58768045
S3515,4.655759048,6.911610468,2.796200054,86.82693511,No,Low,5.242125337
S8881,3.522494796,7.127332362,5.060489655,95.26998808,No,Medium,6.25231423
S3189,5.17710654,7.023379253,4.994795252,79.87346126,Yes,Medium,7.267530395
S6729,3.894989863,6.235650246,2.89855361,80.13271752,No,Medium,6.405329999
S4869,5.99223643,8.010653252,4.944462539,69.73983045,No,Low,6.637657791
S8722,4.3304801,5.68129586,4.639682067,81.17074375,No,Low,7.163880954
S2145,4.031158095,8.347453825,3.099522558,85.74978939,No,High,7.262627344
S2453,9.203366228,5.451200086,5.036146947,72.14965723,No,Medium,8.628054508
S8709,2.244765286,7.895190666,3.559623977,78.24750514,No,Medium,8.438136349
S3319,1.799691534,6.632038771,4.4787023,80.7379217,No,Low,7.006615745
S4350,2.961207256,7.023379253,4.994795252,79.87346126,No,Low,6.619057334
S3960,2.350971677,8.635708254,6.430956864,74.3385306,No,Low,5.391925117
S5518,4.696683478,9.002656926,7.741216763,69.45107768,No,Medium,7.113077857
S2458,6.579505508,5.887235258,3.941774665,90.4460446,No,Medium,6.999508661
S1304,3.958196812,7.023379253,4.994795252,79.87346126,No,Medium,7.95413908
S10084,6.751193929,5.870103682,5.035115675,95.68231733,No,Low,7.317091592
S4397,6.978226217,5.913422252,5.968968478,69.38309576,No,Low,9.855854325
S6386,6.702031505,4.67712545,5.962111448,81.97740336,No,High,8.992359066
S5768,6.058826202,3.496069572,4.344424621,69.23008774,Yes,Medium,7.488442254
S9312,4.484141341,9.068366865,3.229795283,89.21378792,No,Medium,7.11011204
S2543,3.085807487,8.370567479,4.322513976,88.97698843,No,Low,6.938790559
S3045,6.242061335,7.023379253,4.994795252,79.87346126,No,Medium,7.722387197
S2355,0,9.133634433,6.178046159,98.64208796,Yes,Medium,8.372766641
S1621,4.942936714,7.023379253,4.994795252,79.87346126,Yes,Medium,8.311606244
S3252,1.09764862,10.55250181,1,75.22453286,No,Medium,6.639965542
S9086,0.030624117,8.015332307,6.537943784,76.90920761,No,Low,7.039659313
S3684,4.670116058,5.659628548,3.854722961,81.53082255,Yes,High,8.742442666
S5850,0,4.27560025,3.925787169,69.47013894,Yes,Low,6.565770048
S10809,3.590135052,7.435907046,4.071928479,87.05800661,No,Medium,4.367246604
S4401,5.139520714,5.533368398,3.706114361,78.98104374,Yes,Medium,7.812991466
S3157,3.364569806,8.061687421,7.540172295,75.96241945,No,Medium,4.99545723
S6356,0.73597023,5.764208034,1,86.03388843,No,Low,7.711668528
S4909,2.526459728,8.983822694,4.253992549,80.63172861,No,High,7.057018994
S7855,7.387094267,8.001074655,6.130394412,79.27219918,No,High,6.443175478
S5228,4.553163011,6.443953127,5.169011612,76.58619223,Yes,Medium,7.16830538
S6994,5.727056485,6.563001991,3.495580631,57.70971813,No,Low,9.127100291
S8001,0.444638075,7.273202307,7.328068794,84.10519725,Yes,High,8.197939366
S4745,3.636993676,6.105064459,5.024809966,92.50893789,No,High,8.679288153
S2022,3.951290815,8.144713451,5.593545014,84.03024882,No,Low,6.000579617
S7382,2.969658202,5.656079495,3.020449984,76.47146529,No,Medium,7.049689196
S8269,2.331457314,7.320394862,2.172337417,68.57301114,Yes,Low,7.016814072
S4209,4.902450639,8.885317048,1.555542879,65.1967088,No,Low,5.547915384
S4071,7.405029316,7.684747053,5.201617709,79.09267909,No,Medium,7.010184672
S8582,3.943564242,7.195813439,2.019377956,84.36166166,Yes,High,7.484774887
S9083,5.555192124,7.383549307,1.909392918,94.83470561,No,High,8.066460946
S4602,8.099624192,9.725189855,6.686300745,100,Yes,Low,9.119098224
S6333,6.386622012,4.860275265,7.493192629,80.34415844,No,Medium,7.751936158
S3254,1.495213111,7.023379253,4.994795252,79.87346126,No,Medium,6.500614805
S1373,5.918541652,6.151975071,5.169595268,72.24095614,No,Low,7.687655831
S10356,5.320686109,8.352997567,4.302734958,68.97202515,No,Medium,6.478318367
S2833,4.57424833,4.594405787,3.547991794,80.07641086,No,Medium,7.728537391
S9688,8.074421279,6.438399328,1,97.51183513,Yes,Medium,5.184265855
S3519,2.297187131,6.86709084,7.345207917,88.01151962,No,High,6.998146799
S4608,1.300847577,6.315056821,4.389848922,69.34253687,Yes,High,7.053275327
S2593,5.807869682,7.023379253,4.994795252,79.87346126,Yes,High,7.87724484
S2702,5.269442937,4.508193392,5.411921432,81.40078456,No,Medium,6.762704339
S7562,3.613391547,5.779042306,7.539906978,86.74733983,No,Medium,5.796611181
S9446,5.330669069,7.023379253,4.994795252,79.87346126,No,High,9.174852282
S3766,3.932774871,7.021572994,4.080603715,69.70837667,Yes,Low,6.80563552
S7734,5.229889278,7.615760187,4.40531691,72.57584493,Yes,Medium,6.919159597
S3122,3.961479241,7.427552113,6.383683608,80.6638185,No,High,6.01817553
S4473,1.878789867,7.023379253,4.994795252,79.87346126,No,Low,6.713256058
S6969,2.81551831,8.499986508,7.646018537,74.82074202,No,Medium,8.712806319
S2087,4.477578318,6.935763431,4.459890204,64.92154036,No,Medium,4.544332545
S7902,4.844869946,6.990094134,3.140304574,80.54141161,No,Medium,6.598513565
S8771,3.591288547,7.048639906,5.332609657,69.48715643,Yes,High,5.71672087
S3948,3.626207684,9.975060399,1.852913553,81.58183501,Yes,Medium,4.921048707
S7390,0.116282681,5.830683287,5.465684901,83.47643588,Yes,Medium,5.130653372
S7110,6.081908348,6.734987361,4.97330707,78.23439729,Yes,High,9.124886666
S2107,1.893168874,6.185197749,2.552661456,60.74356975,Yes,Medium,6.021355777
S7277,3.632943656,6.460461001,4.730399776,61.61577845,No,Medium,7.938325979
S4880,4.603400018,5.268044577,3.357426409,70.67340361,Yes,Medium,8.035175351
S6477,3.960411311,8.325974741,2.212391108,80.70965816,No,Low,7.805089648
S6427,3.959802496,6.97607541,3.811615459,89.08366427,Yes,Medium,4.237631335
S10636,3.847521965,6.955068031,8.361571306,90.76291285,No,Medium,8.263715306
S10600,0,6.603279477,3.515464618,77.1289648,Yes,High,7.217278823
S1713,4.798272229,7.023379253,4.994795252,79.87346126,Yes,Low,6.978054161
S6746,3.232250517,9.223666043,5.566610359,83.90837813,No,Low,8.931682916
S5718,5.44565379,6.625341082,4.68833102,75.39763663,No,Medium,6.447745117
S4543,1.845247846,8.666717823,2.01065956,58.54167995,Yes,High,7.786558754
S9695,5.811435201,8.523014179,1.603400337,85.21129104,No,Low,5.912797416
S9131,5.170042665,6.564425513,3.490006964,77.09745557,No,Medium,8.919055917
S9452,2.2285724,5.848406286,6.519846443,79.47209306,No,High,8.797376816
S3826,6.493783431,7.244883439,4.475543726,74.97169106,Yes,High,7.438967776
S4379,2.543455595,7.839033115,5.056169234,74.00672897,No,Medium,7.279473801
S6071,3.560661095,7.784828517,4.256981549,100,No,Medium,7.100057693
S5335,2.708855856,8.628507864,6.858958124,70.03581338,No,Low,4.540378918
S6718,5.111882903,6.033238447,3.81832938,67.82660268,Yes,Medium,7.872941202
S9850,7.738133007,8.743391666,4.658311992,87.56200811,No,Medium,6.608864894
S2760,7.279929059,7.023379253,4.994795252,79.87346126,Yes,High,6.775004096
S9317,5.681213426,10.47715339,6.063060726,70.2723907,No,Medium,6.732385092
S3012,2.4617153,6.030207281,3.150889561,57.19584027,No,High,8.173745276
S8690,4.819370687,8.570764983,5.963525418,78.63836684,No,Medium,8.284060297
S10258,9.536747211,7.748887728,5.207536499,87.43756398,No,Low,8.200242926
S5119,1.920386938,5.694755263,6.415826678,85.4203787,No,High,6.029229606
S8873,2.196014701,9.384170404,5.44242506,79.48674506,Yes,High,7.479569616
S3648,4.031236668,4.307306205,3.249910611,76.23209012,Yes,Medium,5.83712491
S6269,5.448273119,7.023379253,4.994795252,79.87346126,No,Medium,8.762908327
S6362,4.123766706,6.14694144,4.469107244,68.97070511,No,Medium,7.654557403
S4131,3.92485871,8.824248665,5.232903955,86.31888765,No,Low,7.587206732
S3453,2.568480022,6.205010602,2.343849934,78.71482509,No,Medium,5.934344994
S7739,1.94415247,5.743031178,2.573940342,83.42523398,Yes,High,6.469654702
S8925,5.20146603,6.721291585,3.997742979,72.41737406,No,Low,4.958476207
S9011,4.862045916,9.435792118,2.992578461,74.75150348,No,Medium,5.334002152
S10236,5.072778438,6.000165653,6.45890778,93.10856863,No,Medium,7.144560519
S10326,2.405123766,7.776227354,3.898776747,76.60209554,Yes,Medium,7.035519429
S8131,3.630897116,9.684158067,5.229794427,81.67058669,No,Medium,6.55148645
S1335,3.705885237,6.899484937,3.909944854,93.09439797,No,Medium,7.826417201
S2660,6.634230135,5.677272252,3.026174746,77.83303914,Yes,High,5.678551043
S10542,5.566311312,8.273255194,4.438051031,72.58203372,No,Medium,5.401384728
S2078,7.001519581,5.234452553,8.024252285,83.45406988,Yes,Low,6.424608235
S3470,6.145956096,9.217770818,1,91.55948007,No,Medium,8.201334185
S5924,4.894787874,6.946363533,4.864971985,79.36942352,Yes,Medium,7.545954736
S7137,2.857632052,6.729796593,5.273692016,67.73849037,No,Low,6.754712989
S1970,4.25620883,7.023379253,4.994795252,79.87346126,No,Medium,8.274379899
S5412,1.883118733,5.712286163,3.48907856,61.75516677,No,Low,7.808553777
S10069,5.449658747,8.429228166,7.462115807,75.42708985,No,Low,8.081090388
S4903,2.114883988,5.800385668,4.057773953,92.72320705,No,High,7.477056866
S8951,5.955744544,7.67749371,4.620864527,68.9776927,No,Low,7.578000791
S4353,4.154312992,8.407856601,6.475573513,60.69214639,Yes,High,6.786202839
S4238,4.36942095,7.023379253,4.994795252,79.87346126,Yes,High,5.220493791
S1106,7.772371802,7.023379253,4.994795252,79.87346126,Yes,Medium,8.457763533
S6339,5.54160444,6.670469432,9.391946106,72.39560262,Yes,Medium,10
S10625,2.640188207,7.549083873,4.809715438,79.37547772,No,Medium,9.168297839
S2339,4.340832445,7.773579429,8.391225067,82.91310456,Yes,Medium,7.202183795
S1450,3.874641805,7.683470365,5.901196663,76.01122244,Yes,Low,4.731693523
S8737,5.039742036,7.493150277,8.324733339,66.54660883,No,Medium,7.02811813
S3168,3.531960282,6.886151822,5.05599909,79.5078025,Yes,Medium,5.639633028
S10314,3.740653896,7.900174683,5.55823685,90.39017307,No,Medium,6.617620778
S10399,5.279805914,6.882745096,1,75.63078676,No,Medium,7.42863798
S6712,5.713474843,7.210440139,3.781401211,82.55394801,No,Low,6.710649417
S8077,8.119690003,8.196348434,4.850691856,71.90871101,No,Low,9.181256461
S8738,4.420016616,6.81601735,6.703096271,74.72071397,No,High,7.958551306
S4485,2.969563212,8.198869686,6.638693813,70.70820185,No,Medium,6.07741469
S6702,4.116740582,5.577067148,5.939004962,89.10668373,Yes,High,7.236581682
S4989,2.45077006,5.005892345,5.598823876,87.96932565,No,Low,9.727742206
S4375,1.951942818,7.618962042,6.518278398,64.68219961,No,Low,6.552897577
S1532,3.867840403,6.34780796,2.451425554,91.59329598,Yes,Medium,7.477492112
S9217,0,6.238462032,3.198938293,78.09500655,No,Medium,8.094854445
